Nivel,Probabilidad
225,3.80656556428528e-07
226,1.90328278214264e-07
227,3.80656556428528e-07
228,2.85492417321396e-07
229,2.85492417321396e-07
230,9.5164139107132e-08
231,1.90328278214264e-07
232,2.85492417321396e-07
233,2.85492417321396e-07
234,3.80656556428528e-07
235,9.5164139107132e-08
236,1.90328278214264e-07
237,0
238,2.85492417321396e-07
239,3.80656556428528e-07
240,0
241,4.7582069553566e-07
242,3.80656556428528e-07
243,1.90328278214264e-07
244,1.90328278214264e-07
245,0
246,1.90328278214264e-07
247,9.5164139107132e-08
248,2.85492417321396e-07
249,9.5164139107132e-08
250,2.85492417321396e-07
251,9.5164139107132e-08
252,1.90328278214264e-07
253,1.90328278214264e-07
254,4.7582069553566e-07
255,3.80656556428528e-07
256,2.85492417321396e-07
257,1.90328278214264e-07
258,9.5164139107132e-08
259,3.80656556428528e-07
260,0
261,9.5164139107132e-08
262,1.90328278214264e-07
263,9.5164139107132e-08
264,2.85492417321396e-07
265,9.5164139107132e-08
266,1.90328278214264e-07
267,1.90328278214264e-07
268,1.90328278214264e-07
269,1.90328278214264e-07
270,1.90328278214264e-07
271,3.80656556428528e-07
272,5.70984834642792e-07
273,2.85492417321396e-07
274,2.85492417321396e-07
275,1.90328278214264e-07
276,9.5164139107132e-08
277,3.80656556428528e-07
278,1.90328278214264e-07
279,4.7582069553566e-07
280,1.90328278214264e-07
281,4.7582069553566e-07
282,2.85492417321396e-07
283,3.80656556428528e-07
284,0
285,9.5164139107132e-08
286,0
287,0
288,3.80656556428528e-07
289,1.90328278214264e-07
290,9.5164139107132e-08
291,4.7582069553566e-07
292,2.85492417321396e-07
293,0
294,0
295,9.5164139107132e-08
296,9.5164139107132e-08
297,9.5164139107132e-08
298,9.5164139107132e-08
299,2.85492417321396e-07
300,1.90328278214264e-07
301,0
302,1.90328278214264e-07
303,9.5164139107132e-08
304,2.85492417321396e-07
305,9.5164139107132e-08
306,2.85492417321396e-07
307,0
308,2.85492417321396e-07
309,2.85492417321396e-07
310,1.90328278214264e-07
311,0
312,0
313,9.5164139107132e-08
314,3.80656556428528e-07
315,1.90328278214264e-07
316,3.80656556428528e-07
317,2.85492417321396e-07
318,9.5164139107132e-08
319,0
320,3.80656556428528e-07
321,2.85492417321396e-07
322,2.85492417321396e-07
323,1.90328278214264e-07
324,3.80656556428528e-07
325,2.85492417321396e-07
326,4.7582069553566e-07
327,2.85492417321396e-07
328,6.66148973749924e-07
329,3.80656556428528e-07
330,5.70984834642792e-07
331,1.90328278214264e-07
332,1.90328278214264e-07
333,1.90328278214264e-07
334,2.85492417321396e-07
335,9.5164139107132e-08
336,9.5164139107132e-08
337,9.5164139107132e-08
338,3.80656556428528e-07
339,3.80656556428528e-07
340,2.85492417321396e-07
341,1.90328278214264e-07
342,1.90328278214264e-07
343,1.90328278214264e-07
344,3.80656556428528e-07
345,1.90328278214264e-07
346,4.7582069553566e-07
347,9.5164139107132e-08
348,2.85492417321396e-07
349,0
350,0
351,9.5164139107132e-08
352,2.85492417321396e-07
353,1.90328278214264e-07
354,2.85492417321396e-07
355,2.85492417321396e-07
356,1.90328278214264e-07
357,1.90328278214264e-07
358,1.90328278214264e-07
359,1.90328278214264e-07
360,2.85492417321396e-07
361,1.90328278214264e-07
362,2.85492417321396e-07
363,1.90328278214264e-07
364,1.90328278214264e-07
365,3.80656556428528e-07
366,9.5164139107132e-08
367,9.5164139107132e-08
368,9.5164139107132e-08
369,4.7582069553566e-07
370,3.80656556428528e-07
371,2.85492417321396e-07
372,1.90328278214264e-07
373,0
374,1.90328278214264e-07
375,6.66148973749924e-07
376,3.80656556428528e-07
377,1.90328278214264e-07
378,3.80656556428528e-07
379,1.90328278214264e-07
380,3.80656556428528e-07
381,9.5164139107132e-08
382,4.7582069553566e-07
383,1.90328278214264e-07
384,3.80656556428528e-07
385,0
386,3.80656556428528e-07
387,3.80656556428528e-07
388,9.5164139107132e-08
389,2.85492417321396e-07
390,1.90328278214264e-07
391,9.5164139107132e-08
392,1.90328278214264e-07
393,3.80656556428528e-07
394,2.85492417321396e-07
395,2.85492417321396e-07
396,5.70984834642792e-07
397,2.85492417321396e-07
398,9.5164139107132e-08
399,2.85492417321396e-07
400,9.5164139107132e-08
401,1.90328278214264e-07
402,3.80656556428528e-07
403,1.90328278214264e-07
404,2.85492417321396e-07
405,1.90328278214264e-07
406,9.5164139107132e-08
407,1.90328278214264e-07
408,1.90328278214264e-07
409,9.5164139107132e-08
410,3.80656556428528e-07
411,4.7582069553566e-07
412,2.85492417321396e-07
413,3.80656556428528e-07
414,1.90328278214264e-07
415,9.5164139107132e-08
416,2.85492417321396e-07
417,2.85492417321396e-07
418,1.90328278214264e-07
419,2.85492417321396e-07
420,2.85492417321396e-07
421,5.70984834642792e-07
422,1.90328278214264e-07
423,9.5164139107132e-08
424,1.90328278214264e-07
425,2.85492417321396e-07
426,2.85492417321396e-07
427,6.66148973749924e-07
428,0
429,3.80656556428528e-07
