Nivel,Probabilidad
465,1.59357470678225e-07
466,3.18714941356451e-07
467,3.18714941356451e-07
468,1.59357470678225e-07
469,7.96787353391127e-08
470,7.96787353391127e-08
471,7.96787353391127e-08
472,4.78072412034676e-07
473,7.96787353391127e-08
474,0
475,2.39036206017338e-07
476,1.59357470678225e-07
477,1.59357470678225e-07
478,1.59357470678225e-07
479,0
480,1.59357470678225e-07
481,1.59357470678225e-07
482,0
483,2.39036206017338e-07
484,3.18714941356451e-07
485,1.59357470678225e-07
486,7.96787353391127e-08
487,1.59357470678225e-07
488,1.59357470678225e-07
489,7.96787353391127e-08
490,3.18714941356451e-07
491,2.39036206017338e-07
492,7.96787353391127e-08
493,2.39036206017338e-07
494,3.18714941356451e-07
495,7.96787353391127e-08
496,1.59357470678225e-07
497,7.96787353391127e-08
498,1.59357470678225e-07
499,7.96787353391127e-08
500,3.18714941356451e-07
501,1.59357470678225e-07
502,7.96787353391127e-08
503,2.39036206017338e-07
504,0
505,2.39036206017338e-07
506,1.59357470678225e-07
507,7.96787353391127e-08
508,2.39036206017338e-07
509,2.39036206017338e-07
510,1.59357470678225e-07
511,1.59357470678225e-07
512,7.96787353391127e-08
513,1.59357470678225e-07
514,2.39036206017338e-07
515,1.59357470678225e-07
516,7.96787353391127e-08
517,1.59357470678225e-07
518,3.18714941356451e-07
519,2.39036206017338e-07
520,0
521,2.39036206017338e-07
522,0
523,0
524,1.59357470678225e-07
525,2.39036206017338e-07
526,0
527,7.96787353391127e-08
528,1.59357470678225e-07
529,3.18714941356451e-07
530,1.59357470678225e-07
531,7.96787353391127e-08
532,1.59357470678225e-07
533,1.59357470678225e-07
534,7.96787353391127e-08
535,3.18714941356451e-07
536,4.78072412034676e-07
537,2.39036206017338e-07
538,7.96787353391127e-08
539,2.39036206017338e-07
540,0
541,3.18714941356451e-07
542,3.98393676695564e-07
543,7.96787353391127e-08
544,7.96787353391127e-08
545,2.39036206017338e-07
546,0
547,7.96787353391127e-08
548,1.59357470678225e-07
549,1.59357470678225e-07
550,4.78072412034676e-07
551,2.39036206017338e-07
552,2.39036206017338e-07
553,0
554,1.59357470678225e-07
555,7.96787353391127e-08
556,7.96787353391127e-08
557,1.59357470678225e-07
558,1.59357470678225e-07
559,2.39036206017338e-07
560,1.59357470678225e-07
561,7.96787353391127e-08
562,1.59357470678225e-07
563,3.98393676695564e-07
564,2.39036206017338e-07
565,3.18714941356451e-07
566,7.96787353391127e-08
567,1.59357470678225e-07
568,1.59357470678225e-07
